2 5 1 8 6 9 3 4 10 7 
-1

5 100 9 76 28 66 74 56 49 30 34 32 50 91 
68 51 86 8 67 85 37 20 96 2 47 59 53 
1 18 75 52 80 57 42 10 69 15 97 88 73 
44 94 46 81 78 41 31 48 19 92 38 12 35 
55 83 63 39 33 71 22 21 16 24 90 40 27 
14 7 99 45 58 64 13 93 54 87 11 25 60 
65 61 95 17 84 77 98 72 26 43 36 6 4 
23 79 29 89 62 70 82 3 
-1

939 72 654 233 565 661 70 120 737 333 141 947 36 648 
7 235 584 430 171 159 476 592 220 779 44 485 62 
342 158 19 420 571 213 117 445 285 132 867 456 898 
620 388 995 483 119 164 355 299 668 642 53 556 658 
146 471 287 608 279 509 841 570 685 399 140 184 762 
239 312 890 106 504 52 9 154 353 269 981 491 863 
850 626 162 415 332 167 207 234 283 166 683 950 200 
502 434 577 672 54 92 93 630 450 700 237 467 531 
10 583 550 882 961 701 518 754 212 208 118 412 150 
156 734 906 833 818 864 174 811 284 888 875 274 244 
602 311 901 601 606 380 645 418 755 95 340 449 337 
719 316 913 835 972 308 381 527 331 993 282 490 926 
635 730 880 510 302 524 854 709 900 877 653 309 959 
847 705 618 104 989 520 555 687 669 894 17 398 155 
173 367 94 122 675 740 588 209 856 725 369 461 868 
589 916 451 708 699 352 659 379 65 390 338 887 842 
631 539 551 706 472 323 432 817 991 258 293 286 433 
290 513 686 884 596 407 86 965 824 270 105 622 805 
459 609 48 823 238 394 778 177 266 422 643 455 395 
336 617 670 81 998 5 803 223 325 454 871 610 810 
729 938 123 38 437 359 265 925 512 404 30 273 768 
591 29 528 416 969 593 260 855 289 229 464 137 199 
636 568 715 88 113 328 703 931 869 492 444 495 952 
615 848 928 820 970 351 546 142 607 56 910 22 475 
911 344 949 241 575 411 881 501 202 987 572 378 644 
191 918 298 218 678 458 497 402 597 828 219 710 183 
711 197 251 313 599 557 114 511 135 357 494 3 25 
20 39 573 181 857 462 59 57 761 259 127 43 549 
940 452 628 280 682 984 860 480 923 80 253 443 764 
990 111 716 899 542 128 406 425 185 486 180 247 403 
401 148 245 790 693 968 1000 413 304 130 90 396 45 
397 121 543 482 578 28 499 440 967 193 124 638 196 
161 690 315 590 793 91 799 977 360 335 535 370 789 
844 271 391 368 385 484 957 506 746 60 436 932 324 
895 785 667 384 431 665 13 419 953 647 330 107 834 
347 544 496 603 526 23 79 822 748 326 203 976 243 
784 773 988 743 876 250 851 751 581 656 362 522 935 
318 553 783 671 816 674 32 487 143 632 231 508 320 
722 611 205 189 849 525 295 829 268 794 637 473 695 
739 365 515 769 109 646 655 929 521 296 922 696 517 
168 963 999 26 721 261 585 804 889 466 35 714 301 
541 774 465 933 210 68 560 186 278 752 561 133 255 
116 310 8 997 634 579 463 479 125 978 713 350 214 
540 195 134 912 182 334 71 677 179 845 373 587 924 
470 664 582 224 63 345 945 692 892 697 442 408 246 
676 198 84 55 85 663 153 782 31 230 576 417 176 
67 329 129 477 40 147 728 178 649 100 4 971 14 
215 364 76 453 903 421 698 908 149 358 852 400 623 
24 82 375 194 165 144 792 136 936 983 69 361 920 
612 616 846 684 814 1 488 414 750 339 292 679 760 
766 652 745 798 873 909 758 469 986 717 574 791 787 
441 346 930 832 907 221 42 281 41 691 765 802 775 
242 211 102 15 763 217 303 548 145 47 96 937 272 
73 944 206 190 474 376 741 503 992 33 902 861 249 
885 387 639 439 204 366 660 264 702 732 800 61 973 
262 319 866 566 11 175 126 735 827 545 724 58 680 
826 874 621 500 662 170 558 731 383 254 389 489 321 
